2020-02-13 14:13:36 engine.py[line:29]                   INFO: 开始运行时间：2020-02-13 14:13:36.522802
2020-02-15 09:56:39 downloader.py[line:19]                   INFO: <200 https://www.guokr.com/search/all/?page=9&wd=%E9%97%AE%E7%AD%94>
2020-02-15 09:56:40 downloader.py[line:19]                   INFO: <200 https://www.guokr.com/search/all/?page=10&wd=%E9%97%AE%E7%AD%94>
2020-02-15 09:56:40 downloader.py[line:19]                   INFO: <200 https://www.guokr.com/search/all/?page=11&wd=%E9%97%AE%E7%AD%94>
2020-02-15 09:56:41 downloader.py[line:19]                   INFO: <200 https://www.guokr.com/search/all/?page=12&wd=%E9%97%AE%E7%AD%94>
2020-02-15 10:00:36 engine.py[line:35]                   INFO: 开始运行时间：2020-02-15 10:00:36.914579
2020-02-15 10:00:37 downloader.py[line:19]                   INFO: <200 http://www.baidu.com/>
2020-02-15 10:00:37 downloader.py[line:19]                   INFO: <200 https://www.guokr.com/search/all/?page=1&wd=%E9%97%AE%E7%AD%94>
2020-02-15 10:00:38 downloader.py[line:19]                   INFO: <200 https://www.guokr.com/search/all/?page=2&wd=%E9%97%AE%E7%AD%94>
2020-02-15 10:00:38 downloader.py[line:19]                   INFO: <200 https://www.guokr.com/search/all/?page=3&wd=%E9%97%AE%E7%AD%94>
2020-02-15 10:00:39 downloader.py[line:19]                   INFO: <200 https://www.guokr.com/search/all/?page=4&wd=%E9%97%AE%E7%AD%94>
2020-02-15 10:00:39 downloader.py[line:19]                   INFO: <200 https://www.guokr.com/search/all/?page=5&wd=%E9%97%AE%E7%AD%94>
2020-02-15 10:00:39 downloader.py[line:19]                   INFO: <200 https://www.guokr.com/search/all/?page=6&wd=%E9%97%AE%E7%AD%94>
2020-02-15 10:00:40 downloader.py[line:19]                   INFO: <200 https://www.guokr.com/search/all/?page=7&wd=%E9%97%AE%E7%AD%94>
2020-02-15 10:00:40 downloader.py[line:19]                   INFO: <200 https://www.guokr.com/search/all/?page=8&wd=%E9%97%AE%E7%AD%94>
2020-02-15 10:00:41 downloader.py[line:19]                   INFO: <200 https://www.guokr.com/search/all/?page=9&wd=%E9%97%AE%E7%AD%94>
2020-02-15 10:00:41 downloader.py[line:19]                   INFO: <200 https://www.guokr.com/search/all/?page=10&wd=%E9%97%AE%E7%AD%94>
2020-02-15 12:16:12 engine.py[line:35]                   INFO: 开始运行时间：2020-02-15 12:16:12.491907
2020-02-15 12:16:12 downloader.py[line:19]                   INFO: <200 http://www.baidu.com/>
2020-02-15 12:16:12 engine.py[line:38]                   INFO: 结束运行时间：2020-02-15 12:16:12.621915
2020-02-15 12:16:12 engine.py[line:39]                   INFO: 耗时：0.13
2020-02-15 12:16:27 engine.py[line:35]                   INFO: 开始运行时间：2020-02-15 12:16:27.788782
2020-02-15 12:16:27 downloader.py[line:19]                   INFO: <200 http://www.baidu.com/>
2020-02-15 12:16:27 downloader.py[line:19]                   INFO: <200 http://www.baidu.com/>
2020-02-15 12:16:28 downloader.py[line:19]                   INFO: <200 http://www.baidu.com/>
2020-02-15 12:16:28 engine.py[line:38]                   INFO: 结束运行时间：2020-02-15 12:16:28.098800
2020-02-15 12:16:28 engine.py[line:39]                   INFO: 耗时：0.31
2020-02-15 13:48:21 engine.py[line:35]                   INFO: 开始运行时间：2020-02-15 13:48:21.578153
2020-02-15 13:48:21 downloader.py[line:19]                   INFO: <200 http://www.baidu.com/>
2020-02-15 13:48:22 downloader.py[line:19]                   INFO: <200 http://www.baidu.com/>
2020-02-15 13:48:22 downloader.py[line:19]                   INFO: <200 http://www.baidu.com/>
2020-02-15 13:48:22 engine.py[line:38]                   INFO: 结束运行时间：2020-02-15 13:48:22.221190
2020-02-15 13:48:22 engine.py[line:39]                   INFO: 耗时：0.64
2020-02-15 14:04:14 engine.py[line:35]                   INFO: 开始运行时间：2020-02-15 14:04:14.750671
2020-02-15 14:04:14 downloader.py[line:19]                   INFO: <200 http://www.baidu.com/>
2020-02-15 14:04:15 downloader.py[line:19]                   INFO: <200 http://www.baidu.com/>
2020-02-15 14:04:15 downloader.py[line:19]                   INFO: <200 http://www.baidu.com/>
2020-02-15 14:04:15 engine.py[line:38]                   INFO: 结束运行时间：2020-02-15 14:04:15.860735
2020-02-15 14:04:15 engine.py[line:39]                   INFO: 耗时：1.11
2020-02-15 14:04:29 engine.py[line:35]                   INFO: 开始运行时间：2020-02-15 14:04:29.305504
2020-02-15 14:04:29 downloader.py[line:19]                   INFO: <200 http://www.baidu.com/>
2020-02-15 14:04:29 downloader.py[line:19]                   INFO: <200 http://www.baidu.com/>
2020-02-15 14:04:29 downloader.py[line:19]                   INFO: <200 http://www.baidu.com/>
2020-02-15 14:04:29 engine.py[line:38]                   INFO: 结束运行时间：2020-02-15 14:04:29.863536
2020-02-15 14:04:29 engine.py[line:39]                   INFO: 耗时：0.56
2020-02-15 14:06:28 engine.py[line:35]                   INFO: 开始运行时间：2020-02-15 14:06:28.113299
2020-02-15 14:06:28 engine.py[line:36]                   INFO: 指纹中的数据：0
2020-02-15 14:06:28 downloader.py[line:19]                   INFO: <200 http://www.baidu.com/>
2020-02-15 14:06:28 downloader.py[line:19]                   INFO: <200 http://www.baidu.com/>
2020-02-15 14:06:28 downloader.py[line:19]                   INFO: <200 http://www.baidu.com/>
2020-02-15 14:06:28 engine.py[line:39]                   INFO: 结束运行时间：2020-02-15 14:06:28.912345
2020-02-15 14:06:28 engine.py[line:40]                   INFO: 耗时：0.80
2020-02-15 14:07:30 engine.py[line:35]                   INFO: 开始运行时间：2020-02-15 14:07:30.979895
2020-02-15 14:07:30 engine.py[line:36]                   INFO: 指纹中的数据：0
2020-02-15 14:07:31 downloader.py[line:19]                   INFO: <200 http://www.baidu.com/>
2020-02-15 14:07:31 downloader.py[line:19]                   INFO: <200 http://www.baidu.com/>
2020-02-15 14:07:31 downloader.py[line:19]                   INFO: <200 http://www.baidu.com/>
2020-02-15 14:07:31 engine.py[line:39]                   INFO: 结束运行时间：2020-02-15 14:07:31.249910
2020-02-15 14:07:31 engine.py[line:40]                   INFO: 耗时：0.27
2020-02-15 14:08:25 engine.py[line:35]                   INFO: 开始运行时间：2020-02-15 14:08:25.902036
2020-02-15 14:08:25 engine.py[line:36]                   INFO: 指纹中的数据：0
2020-02-15 14:08:25 downloader.py[line:19]                   INFO: <200 http://www.baidu.com/>
2020-02-15 14:08:26 downloader.py[line:19]                   INFO: <200 http://www.baidu.com/>
2020-02-15 14:08:26 downloader.py[line:19]                   INFO: <200 http://www.baidu.com/>
2020-02-15 14:08:26 engine.py[line:39]                   INFO: 结束运行时间：2020-02-15 14:08:26.185053
2020-02-15 14:08:26 engine.py[line:40]                   INFO: 耗时：0.28
2020-02-15 14:09:00 engine.py[line:35]                   INFO: 开始运行时间：2020-02-15 14:09:00.101992
2020-02-15 14:09:00 engine.py[line:36]                   INFO: 指纹中的数据：set()
2020-02-15 14:09:00 downloader.py[line:19]                   INFO: <200 http://www.baidu.com/>
2020-02-15 14:09:00 downloader.py[line:19]                   INFO: <200 http://www.baidu.com/>
2020-02-15 14:09:00 downloader.py[line:19]                   INFO: <200 http://www.baidu.com/>
2020-02-15 14:09:00 engine.py[line:39]                   INFO: 结束运行时间：2020-02-15 14:09:00.367008
2020-02-15 14:09:00 engine.py[line:40]                   INFO: 耗时：0.27
2020-02-15 14:09:53 engine.py[line:35]                   INFO: 开始运行时间：2020-02-15 14:09:53.576051
2020-02-15 14:09:53 engine.py[line:36]                   INFO: 指纹中的数据：set()
2020-02-15 14:09:53 downloader.py[line:19]                   INFO: <200 http://www.baidu.com/>
2020-02-15 14:09:53 downloader.py[line:19]                   INFO: <200 http://www.baidu.com/>
2020-02-15 14:09:53 downloader.py[line:19]                   INFO: <200 http://www.baidu.com/>
2020-02-15 14:09:53 engine.py[line:39]                   INFO: 结束运行时间：2020-02-15 14:09:53.906070
2020-02-15 14:09:53 engine.py[line:40]                   INFO: 耗时：0.33
2020-02-15 14:13:29 engine.py[line:35]                   INFO: 开始运行时间：2020-02-15 14:13:29.869422
2020-02-15 14:13:29 engine.py[line:36]                   INFO: 指纹中的数据：set()
2020-02-15 14:14:26 engine.py[line:35]                   INFO: 开始运行时间：2020-02-15 14:14:26.401656
2020-02-15 14:14:26 engine.py[line:36]                   INFO: 指纹中的数据：set()
2020-02-15 14:14:26 downloader.py[line:19]                   INFO: <200 http://www.baidu.com/>
2020-02-15 14:14:26 engine.py[line:39]                   INFO: 结束运行时间：2020-02-15 14:14:26.712674
2020-02-15 14:14:26 engine.py[line:40]                   INFO: 耗时：0.31
2020-02-15 14:18:01 engine.py[line:35]                   INFO: 开始运行时间：2020-02-15 14:18:01.943984
2020-02-15 14:18:01 engine.py[line:36]                   INFO: 运行的爬虫有：{'baidu': <spiders.baidu.BaiduSpider object at 0x031B5830>}
2020-02-15 14:18:01 engine.py[line:37]                   INFO: 开启的爬虫中间件有：[]
2020-02-15 14:18:01 engine.py[line:38]                   INFO: 开启的下载中间件有：[]
2020-02-15 14:18:01 engine.py[line:39]                   INFO: 启用的管道有：[<pipelines.BaiduPipeline object at 0x031B5DB0>, <pipelines.DoubanPipeline object at 0x031B5DD0>]
2020-02-15 14:18:02 downloader.py[line:19]                   INFO: <200 http://www.baidu.com/>
2020-02-15 14:18:02 engine.py[line:42]                   INFO: 结束运行时间：2020-02-15 14:18:02.569020
2020-02-15 14:18:02 engine.py[line:43]                   INFO: 耗时：0.63
2020-02-15 15:55:51 engine.py[line:40]                   INFO: 开始运行时间：2020-02-15 15:55:51.751718
2020-02-15 15:55:51 engine.py[line:41]                   INFO: 运行的爬虫有：{'baidu': <spiders.baidu.BaiduSpider object at 0x0355A550>}
2020-02-15 15:55:51 engine.py[line:42]                   INFO: 开启的爬虫中间件有：[]
2020-02-15 15:55:51 engine.py[line:43]                   INFO: 开启的下载中间件有：[]
2020-02-15 15:55:51 engine.py[line:44]                   INFO: 启用的管道有：[<pipelines.BaiduPipeline object at 0x0355AAB0>, <pipelines.DoubanPipeline object at 0x0355AAD0>]
2020-02-15 15:56:31 engine.py[line:40]                   INFO: 开始运行时间：2020-02-15 15:56:31.287979
2020-02-15 15:56:31 engine.py[line:41]                   INFO: 运行的爬虫有：{'baidu': <spiders.baidu.BaiduSpider object at 0x031FA550>}
2020-02-15 15:56:31 engine.py[line:42]                   INFO: 开启的爬虫中间件有：[]
2020-02-15 15:56:31 engine.py[line:43]                   INFO: 开启的下载中间件有：[]
2020-02-15 15:56:31 engine.py[line:44]                   INFO: 启用的管道有：[<pipelines.BaiduPipeline object at 0x031FAAB0>, <pipelines.DoubanPipeline object at 0x031FAAD0>]
2020-02-15 15:57:08 engine.py[line:40]                   INFO: 开始运行时间：2020-02-15 15:57:08.874129
2020-02-15 15:57:08 engine.py[line:41]                   INFO: 运行的爬虫有：{'baidu': <spiders.baidu.BaiduSpider object at 0x0355B5F0>}
2020-02-15 15:57:08 engine.py[line:42]                   INFO: 开启的爬虫中间件有：[]
2020-02-15 15:57:08 engine.py[line:43]                   INFO: 开启的下载中间件有：[]
2020-02-15 15:57:08 engine.py[line:44]                   INFO: 启用的管道有：[<pipelines.BaiduPipeline object at 0x0355BA70>, <pipelines.DoubanPipeline object at 0x0355BA90>]
2020-02-15 15:59:01 engine.py[line:40]                   INFO: 开始运行时间：2020-02-15 15:59:01.502571
2020-02-15 15:59:01 engine.py[line:41]                   INFO: 运行的爬虫有：{'baidu': <spiders.baidu.BaiduSpider object at 0x0355A570>}
2020-02-15 15:59:01 engine.py[line:42]                   INFO: 开启的爬虫中间件有：[]
2020-02-15 15:59:01 engine.py[line:43]                   INFO: 开启的下载中间件有：[]
2020-02-15 15:59:01 engine.py[line:44]                   INFO: 启用的管道有：[<pipelines.BaiduPipeline object at 0x0355AAD0>, <pipelines.DoubanPipeline object at 0x0355AAF0>]
2020-02-15 15:59:02 downloader.py[line:19]                   INFO: <200 http://www.baidu.com/>
2020-02-15 15:59:02 engine.py[line:47]                   INFO: 结束运行时间：2020-02-15 15:59:02.301617
2020-02-15 15:59:02 engine.py[line:48]                   INFO: 耗时：0.80
2020-02-15 15:59:10 engine.py[line:40]                   INFO: 开始运行时间：2020-02-15 15:59:10.857106
2020-02-15 15:59:10 engine.py[line:41]                   INFO: 运行的爬虫有：{'baidu': <spiders.baidu.BaiduSpider object at 0x03248570>}
2020-02-15 15:59:10 engine.py[line:42]                   INFO: 开启的爬虫中间件有：[]
2020-02-15 15:59:10 engine.py[line:43]                   INFO: 开启的下载中间件有：[]
2020-02-15 15:59:10 engine.py[line:44]                   INFO: 启用的管道有：[<pipelines.BaiduPipeline object at 0x03248AD0>, <pipelines.DoubanPipeline object at 0x03248AF0>]
2020-02-15 15:59:24 engine.py[line:40]                   INFO: 开始运行时间：2020-02-15 15:59:24.495886
2020-02-15 15:59:24 engine.py[line:41]                   INFO: 运行的爬虫有：{'baidu': <spiders.baidu.BaiduSpider object at 0x03568570>}
2020-02-15 15:59:24 engine.py[line:42]                   INFO: 开启的爬虫中间件有：[]
2020-02-15 15:59:24 engine.py[line:43]                   INFO: 开启的下载中间件有：[]
2020-02-15 15:59:24 engine.py[line:44]                   INFO: 启用的管道有：[<pipelines.BaiduPipeline object at 0x03568AD0>, <pipelines.DoubanPipeline object at 0x03568AF0>]
2020-02-15 15:59:42 engine.py[line:40]                   INFO: 开始运行时间：2020-02-15 15:59:42.351907
2020-02-15 15:59:42 engine.py[line:41]                   INFO: 运行的爬虫有：{'baidu': <spiders.baidu.BaiduSpider object at 0x03568570>}
2020-02-15 15:59:42 engine.py[line:42]                   INFO: 开启的爬虫中间件有：[]
2020-02-15 15:59:42 engine.py[line:43]                   INFO: 开启的下载中间件有：[]
2020-02-15 15:59:42 engine.py[line:44]                   INFO: 启用的管道有：[<pipelines.BaiduPipeline object at 0x03568AD0>, <pipelines.DoubanPipeline object at 0x03568AF0>]
2020-02-15 15:59:54 engine.py[line:40]                   INFO: 开始运行时间：2020-02-15 15:59:54.524604
2020-02-15 15:59:54 engine.py[line:41]                   INFO: 运行的爬虫有：{'baidu': <spiders.baidu.BaiduSpider object at 0x03568570>}
2020-02-15 15:59:54 engine.py[line:42]                   INFO: 开启的爬虫中间件有：[]
2020-02-15 15:59:54 engine.py[line:43]                   INFO: 开启的下载中间件有：[]
2020-02-15 15:59:54 engine.py[line:44]                   INFO: 启用的管道有：[<pipelines.BaiduPipeline object at 0x03568AD0>, <pipelines.DoubanPipeline object at 0x03568AF0>]
2020-02-15 16:00:52 engine.py[line:40]                   INFO: 开始运行时间：2020-02-15 16:00:52.261906
2020-02-15 16:00:52 engine.py[line:41]                   INFO: 运行的爬虫有：{'baidu': <spiders.baidu.BaiduSpider object at 0x031F8570>}
2020-02-15 16:00:52 engine.py[line:42]                   INFO: 开启的爬虫中间件有：[]
2020-02-15 16:00:52 engine.py[line:43]                   INFO: 开启的下载中间件有：[]
2020-02-15 16:00:52 engine.py[line:44]                   INFO: 启用的管道有：[<pipelines.BaiduPipeline object at 0x031F8AD0>, <pipelines.DoubanPipeline object at 0x031F8AF0>]
2020-02-15 16:01:30 engine.py[line:40]                   INFO: 开始运行时间：2020-02-15 16:01:30.373086
2020-02-15 16:01:30 engine.py[line:41]                   INFO: 运行的爬虫有：{'baidu': <spiders.baidu.BaiduSpider object at 0x039863F0>}
2020-02-15 16:01:30 engine.py[line:42]                   INFO: 开启的爬虫中间件有：[]
2020-02-15 16:01:30 engine.py[line:43]                   INFO: 开启的下载中间件有：[]
2020-02-15 16:01:30 engine.py[line:44]                   INFO: 启用的管道有：[<pipelines.BaiduPipeline object at 0x039A53F0>, <pipelines.DoubanPipeline object at 0x039A5470>]
2020-02-15 16:03:43 engine.py[line:40]                   INFO: 开始运行时间：2020-02-15 16:03:43.280688
2020-02-15 16:03:43 engine.py[line:41]                   INFO: 运行的爬虫有：{'baidu': <spiders.baidu.BaiduSpider object at 0x031F8570>}
2020-02-15 16:03:43 engine.py[line:42]                   INFO: 开启的爬虫中间件有：[]
2020-02-15 16:03:43 engine.py[line:43]                   INFO: 开启的下载中间件有：[]
2020-02-15 16:03:43 engine.py[line:44]                   INFO: 启用的管道有：[<pipelines.BaiduPipeline object at 0x031F8AD0>, <pipelines.DoubanPipeline object at 0x031F8AF0>]
2020-02-15 16:05:10 engine.py[line:40]                   INFO: 开始运行时间：2020-02-15 16:05:10.377669
2020-02-15 16:05:10 engine.py[line:41]                   INFO: 运行的爬虫有：{'baidu': <spiders.baidu.BaiduSpider object at 0x031F8570>}
2020-02-15 16:05:10 engine.py[line:42]                   INFO: 开启的爬虫中间件有：[]
2020-02-15 16:05:10 engine.py[line:43]                   INFO: 开启的下载中间件有：[]
2020-02-15 16:05:10 engine.py[line:44]                   INFO: 启用的管道有：[<pipelines.BaiduPipeline object at 0x031F8A90>, <pipelines.DoubanPipeline object at 0x031F8AB0>]
2020-02-15 16:05:35 engine.py[line:40]                   INFO: 开始运行时间：2020-02-15 16:05:35.832125
2020-02-15 16:05:35 engine.py[line:41]                   INFO: 运行的爬虫有：{'baidu': <spiders.baidu.BaiduSpider object at 0x035BA570>, 'doubai': <spiders.douban.DoubanSpider object at 0x035BA790>}
2020-02-15 16:05:35 engine.py[line:42]                   INFO: 开启的爬虫中间件有：[]
2020-02-15 16:05:35 engine.py[line:43]                   INFO: 开启的下载中间件有：[]
2020-02-15 16:05:35 engine.py[line:44]                   INFO: 启用的管道有：[<pipelines.BaiduPipeline object at 0x035BAAF0>, <pipelines.DoubanPipeline object at 0x035BAB10>]
2020-02-15 16:06:59 engine.py[line:40]                   INFO: 开始运行时间：2020-02-15 16:06:59.710923
2020-02-15 16:06:59 engine.py[line:41]                   INFO: 运行的爬虫有：{'baidu': <spiders.baidu.BaiduSpider object at 0x03568330>, 'doubai': <spiders.douban.DoubanSpider object at 0x03568750>}
2020-02-15 16:06:59 engine.py[line:42]                   INFO: 开启的爬虫中间件有：[]
2020-02-15 16:06:59 engine.py[line:43]                   INFO: 开启的下载中间件有：[]
2020-02-15 16:06:59 engine.py[line:44]                   INFO: 启用的管道有：[<pipelines.BaiduPipeline object at 0x03568AB0>, <pipelines.DoubanPipeline object at 0x03568AD0>]
2020-02-15 16:07:01 downloader.py[line:19]                   INFO: <200 http://www.baidu.com/>
2020-02-15 16:07:09 downloader.py[line:19]                   INFO: <200 https://www.guokr.com/search/all/?page=3&wd=%E9%97%AE%E7%AD%94>
2020-02-15 16:07:10 downloader.py[line:19]                   INFO: <200 https://www.guokr.com/search/all/?page=4&wd=%E9%97%AE%E7%AD%94>
2020-02-15 16:07:15 downloader.py[line:19]                   INFO: <200 https://www.guokr.com/search/all/?page=2&wd=%E9%97%AE%E7%AD%94>
2020-02-15 16:10:02 engine.py[line:40]                   INFO: 开始运行时间：2020-02-15 16:10:02.151358
2020-02-15 16:10:02 engine.py[line:41]                   INFO: 运行的爬虫有：{'baidu': <spiders.baidu.BaiduSpider object at 0x031EA570>, 'doubai': <spiders.douban.DoubanSpider object at 0x031EA790>}
2020-02-15 16:10:02 engine.py[line:42]                   INFO: 开启的爬虫中间件有：[]
2020-02-15 16:10:02 engine.py[line:43]                   INFO: 开启的下载中间件有：[]
2020-02-15 16:10:02 engine.py[line:44]                   INFO: 启用的管道有：[<pipelines.BaiduPipeline object at 0x031EAAF0>, <pipelines.DoubanPipeline object at 0x031EAB10>]
2020-02-15 16:10:22 engine.py[line:40]                   INFO: 开始运行时间：2020-02-15 16:10:22.696533
2020-02-15 16:10:22 engine.py[line:41]                   INFO: 运行的爬虫有：{'baidu': <spiders.baidu.BaiduSpider object at 0x0355A550>, 'doubai': <spiders.douban.DoubanSpider object at 0x0355A770>}
2020-02-15 16:10:22 engine.py[line:42]                   INFO: 开启的爬虫中间件有：[]
2020-02-15 16:10:22 engine.py[line:43]                   INFO: 开启的下载中间件有：[]
2020-02-15 16:10:22 engine.py[line:44]                   INFO: 启用的管道有：[<pipelines.BaiduPipeline object at 0x0355AAD0>, <pipelines.DoubanPipeline object at 0x0355AAF0>]
2020-02-15 16:10:24 downloader.py[line:19]                   INFO: <200 http://www.baidu.com/>
2020-02-15 16:10:30 downloader.py[line:19]                   INFO: <200 https://www.guokr.com/search/all/?page=1&wd=%E9%97%AE%E7%AD%94>
2020-02-15 16:10:34 downloader.py[line:19]                   INFO: <200 https://www.guokr.com/search/all/?page=2&wd=%E9%97%AE%E7%AD%94>
2020-02-15 16:10:36 downloader.py[line:19]                   INFO: <200 https://www.guokr.com/search/all/?page=3&wd=%E9%97%AE%E7%AD%94>
2020-02-15 16:10:37 downloader.py[line:19]                   INFO: <200 https://www.guokr.com/search/all/?page=4&wd=%E9%97%AE%E7%AD%94>
2020-02-15 16:10:40 downloader.py[line:19]                   INFO: <200 https://www.guokr.com/search/all/?page=5&wd=%E9%97%AE%E7%AD%94>
2020-02-15 16:10:41 downloader.py[line:19]                   INFO: <200 https://www.guokr.com/search/all/?page=6&wd=%E9%97%AE%E7%AD%94>
2020-02-15 16:10:42 downloader.py[line:19]                   INFO: <200 https://www.guokr.com/search/all/?page=7&wd=%E9%97%AE%E7%AD%94>
2020-02-15 16:10:43 downloader.py[line:19]                   INFO: <200 https://www.guokr.com/search/all/?page=8&wd=%E9%97%AE%E7%AD%94>
2020-02-15 16:10:46 downloader.py[line:19]                   INFO: <200 https://www.guokr.com/search/all/?page=9&wd=%E9%97%AE%E7%AD%94>
2020-02-15 16:10:48 downloader.py[line:19]                   INFO: <200 https://www.guokr.com/search/all/?page=10&wd=%E9%97%AE%E7%AD%94>
2020-02-15 16:10:53 downloader.py[line:19]                   INFO: <200 https://www.guokr.com/search/all/?page=11&wd=%E9%97%AE%E7%AD%94>
2020-02-15 16:10:56 downloader.py[line:19]                   INFO: <200 https://www.guokr.com/search/all/?page=12&wd=%E9%97%AE%E7%AD%94>
2020-02-15 16:11:01 downloader.py[line:19]                   INFO: <200 https://www.guokr.com/search/all/?page=13&wd=%E9%97%AE%E7%AD%94>
2020-02-15 16:13:52 engine.py[line:40]                   INFO: 开始运行时间：2020-02-15 16:13:52.911557
2020-02-15 16:13:52 engine.py[line:41]                   INFO: 运行的爬虫有：{'baidu': <spiders.baidu.BaiduSpider object at 0x031F8590>, 'doubai': <spiders.douban.DoubanSpider object at 0x031F87B0>}
2020-02-15 16:13:52 engine.py[line:42]                   INFO: 开启的爬虫中间件有：[]
2020-02-15 16:13:52 engine.py[line:43]                   INFO: 开启的下载中间件有：[]
2020-02-15 16:13:52 engine.py[line:44]                   INFO: 启用的管道有：[<pipelines.BaiduPipeline object at 0x031F8B10>, <pipelines.DoubanPipeline object at 0x031F8B30>]
2020-02-15 16:13:55 downloader.py[line:19]                   INFO: <200 http://www.baidu.com/>
2020-02-15 16:14:04 downloader.py[line:19]                   INFO: <200 https://www.guokr.com/search/all/?page=1&wd=%E9%97%AE%E7%AD%94>
2020-02-15 16:14:12 downloader.py[line:19]                   INFO: <200 https://www.guokr.com/search/all/?page=2&wd=%E9%97%AE%E7%AD%94>
2020-02-15 16:14:17 engine.py[line:40]                   INFO: 开始运行时间：2020-02-15 16:14:17.220947
2020-02-15 16:14:17 engine.py[line:41]                   INFO: 运行的爬虫有：{'baidu': <spiders.baidu.BaiduSpider object at 0x0356A590>, 'doubai': <spiders.douban.DoubanSpider object at 0x0356A7B0>}
2020-02-15 16:14:17 engine.py[line:42]                   INFO: 开启的爬虫中间件有：[]
2020-02-15 16:14:17 engine.py[line:43]                   INFO: 开启的下载中间件有：[]
2020-02-15 16:14:17 engine.py[line:44]                   INFO: 启用的管道有：[<pipelines.BaiduPipeline object at 0x0356AB10>, <pipelines.DoubanPipeline object at 0x0356AB30>]
2020-02-15 16:14:25 engine.py[line:40]                   INFO: 开始运行时间：2020-02-15 16:14:25.043394
2020-02-15 16:14:25 engine.py[line:41]                   INFO: 运行的爬虫有：{'baidu': <spiders.baidu.BaiduSpider object at 0x031F8590>, 'doubai': <spiders.douban.DoubanSpider object at 0x031F87B0>}
2020-02-15 16:14:25 engine.py[line:42]                   INFO: 开启的爬虫中间件有：[]
2020-02-15 16:14:25 engine.py[line:43]                   INFO: 开启的下载中间件有：[]
2020-02-15 16:14:25 engine.py[line:44]                   INFO: 启用的管道有：[<pipelines.BaiduPipeline object at 0x031F8B10>, <pipelines.DoubanPipeline object at 0x031F8B30>]
2020-02-15 16:14:26 downloader.py[line:19]                   INFO: <200 http://www.baidu.com/>
2020-02-15 16:14:33 downloader.py[line:19]                   INFO: <200 https://www.guokr.com/search/all/?page=1&wd=%E9%97%AE%E7%AD%94>
2020-02-15 16:14:36 downloader.py[line:19]                   INFO: <200 https://www.guokr.com/search/all/?page=3&wd=%E9%97%AE%E7%AD%94>
2020-02-15 16:14:42 downloader.py[line:19]                   INFO: <200 https://www.guokr.com/search/all/?page=2&wd=%E9%97%AE%E7%AD%94>
2020-02-15 16:14:43 downloader.py[line:19]                   INFO: <200 https://www.guokr.com/search/all/?page=6&wd=%E9%97%AE%E7%AD%94>
2020-02-15 16:14:45 downloader.py[line:19]                   INFO: <200 https://www.guokr.com/search/all/?page=7&wd=%E9%97%AE%E7%AD%94>
2020-02-15 16:14:48 downloader.py[line:19]                   INFO: <200 https://www.guokr.com/search/all/?page=8&wd=%E9%97%AE%E7%AD%94>
2020-02-15 16:14:55 downloader.py[line:19]                   INFO: <200 https://www.guokr.com/search/all/?page=9&wd=%E9%97%AE%E7%AD%94>
2020-02-15 16:14:57 downloader.py[line:19]                   INFO: <200 https://www.guokr.com/search/all/?page=10&wd=%E9%97%AE%E7%AD%94>
2020-02-15 16:15:07 downloader.py[line:19]                   INFO: <200 https://www.guokr.com/search/all/?page=12&wd=%E9%97%AE%E7%AD%94>
2020-02-15 16:15:08 downloader.py[line:19]                   INFO: <200 https://www.guokr.com/search/all/?page=11&wd=%E9%97%AE%E7%AD%94>
2020-02-15 16:16:43 engine.py[line:40]                   INFO: 开始运行时间：2020-02-15 16:16:43.966340
2020-02-15 16:16:43 engine.py[line:41]                   INFO: 运行的爬虫有：{'baidu': <spiders.baidu.BaiduSpider object at 0x031F8590>, 'doubai': <spiders.douban.DoubanSpider object at 0x031F87B0>}
2020-02-15 16:16:43 engine.py[line:42]                   INFO: 开启的爬虫中间件有：[]
2020-02-15 16:16:43 engine.py[line:43]                   INFO: 开启的下载中间件有：[]
2020-02-15 16:16:43 engine.py[line:44]                   INFO: 启用的管道有：[<pipelines.BaiduPipeline object at 0x031F8B10>, <pipelines.DoubanPipeline object at 0x031F8B30>]
2020-02-15 16:17:07 engine.py[line:120]                   ERROR: HTTPConnectionPool(host='www.baidu.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x032A65D0>: Failed to establish a new connection: [Errno 11004] getaddrinfo failed',))
Traceback (most recent call last):
  File "D:\Envs\meiduo\lib\site-packages\urllib3\connection.py", line 157, in _new_conn
    (self._dns_host, self.port), self.timeout, **extra_kw
  File "D:\Envs\meiduo\lib\site-packages\urllib3\util\connection.py", line 61, in create_connection
    for res in socket.getaddrinfo(host, port, family, socket.SOCK_STREAM):
  File "c:\users\administrator\appdata\local\programs\python\python36-32\Lib\socket.py", line 745, in getaddrinfo
    for res in _socket.getaddrinfo(host, port, family, type, proto, flags):
socket.gaierror: [Errno 11004] getaddrinfo failed

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "D:\Envs\meiduo\lib\site-packages\urllib3\connectionpool.py", line 672, in urlopen
    chunked=chunked,
  File "D:\Envs\meiduo\lib\site-packages\urllib3\connectionpool.py", line 387, in _make_request
    conn.request(method, url, **httplib_request_kw)
  File "c:\users\administrator\appdata\local\programs\python\python36-32\Lib\http\client.py", line 1239, in request
    self._send_request(method, url, body, headers, encode_chunked)
